site,use,veg,lizard_id,otu,n
EMONI,high,low,EMONI-516-03,coleoptera,1
EMONI,high,low,EMONI-516-03,hymenoptera,1
EMONI,high,low,EMONI-516-03,araneae,1
EMONI,high,low,EMONI-516-06,coleoptera,1
EMONI,high,low,EMONI-516-06,hemiptera,1
EMONI,high,low,EMONI-516-06,hymenoptera,7
EMONI,high,low,EMONI-516-06,lepidoptera_larvae,1
EMONI,high,low,EMONI-516-06,araneae,2
EMONI,high,low,EMONI-516-07,coleoptera,2
EMONI,high,low,EMONI-516-07,hymenoptera,8
EMONI,high,low,EMONI-516-09,hemiptera,2
EMONI,high,low,EMONI-516-09,hymenoptera,3
EMONI,high,low,EMONI-516-09,araneae,4
EMONI,high,low,EMONI-516-14,coleoptera,4
EMONI,high,low,EMONI-516-14,hymenoptera,3
EMONI,high,low,EMONI-516-14,lepidoptera_larvae,1
EMONI,high,low,EMONI-516-14,araneae,1
EMONI,high,low,EMONI-516-15,lepidoptera_larvae,1
EMONI,high,low,EMONI-516-17-a,coleoptera,1
EMONI,high,low,EMONI-516-17-a,hymenoptera,1
EMONI,high,low,EMONI-516-17-a,coleoptera_larvae,1
EMONI,high,low,EMONI-516-17-a,acari,1
EMONI,high,low,EMONI-516-17-b,hemiptera,1
EMONI,high,low,EMONI-516-17-b,hymenoptera,1
EMONI,high,low,EMONI-516-17-b,lepidoptera_larvae,1
EMONI,high,low,EMONI-516-17-b,araneae,1
EMONI,high,low,EMONI-516-20,coleoptera,2
EMONI,high,low,EMONI-516-20,hymenoptera,2
EMONI,high,low,EMONI-516-20,acari,4
EMONI,high,low,EMONI-516-22,coleoptera,1
EMONI,high,low,EMONI-516-22,araneae,1
EMONI,high,low,EMONI-516-22,gastropoda,1
EMONI,high,low,EMONI-516-23,coleoptera,1
EMONI,high,low,EMONI-516-23,diptera,1
EMONI,high,low,EMONI-516-23,hemiptera,1
EMONI,high,low,EMONI-516-23,araneae,1
EMONI,high,low,EMONI-516-25,orthoptera,1
EMONI,high,low,EMONI-516-26,hemiptera,1
EMONI,high,low,EMONI-516-26,hymenoptera,6
EMONI,high,low,EMONI-516-26,lepidoptera_larvae,1
EMONI,high,low,EMONI-516-26,araneae,1
EMONI,high,low,EMONI-516-26,gastropoda,1
EMONI,high,low,EMONI-516-26,stick,2
EMONI,high,low,EMONI-516-29,coleoptera,3
EMONI,high,low,EMONI-516-29,hemiptera,2
EMONI,high,low,EMONI-516-29,hymenoptera,3
EMONI,high,low,EMONI-516-29,coleoptera_larvae,1
EMONI,high,low,EMONI-516-29,lepidoptera_larvae,1
EMONI,high,low,EMONI-516-29,neuroptera_larvae,1
EMONI,high,low,EMONI-516-29,acari,3
EMONI,high,low,EMONI-516-29,araneae,3
SMONI,high,low,SMONI-522-01,coleoptera,1
SMONI,high,low,SMONI-522-01,araneae,1
SMONI,high,low,SMONI-522-17,coleoptera,2
SMONI,high,low,SMONI-522-17,hymenoptera,1
SMONI,high,low,SMONI-522-17,isopoda,1
SMONI,high,low,SMONI-522-35,coleoptera,1
SMONI,high,low,SMONI-522-35,hymenoptera,1
SMONI,high,low,SMONI-522-33,hemiptera,2
SMONI,high,low,SMONI-522-33,araneae,1
SMONI,high,low,SMONI-522-03,coleoptera,1
SMONI,high,low,SMONI-522-03,hymenoptera,1
NALYKO,low,low,NALYKO-601-01,blattodea,1
NALYKO,low,low,NALYKO-601-01,coleoptera,2
NALYKO,low,low,NALYKO-601-01,araneae,1
NALYKO,low,low,NALYKO-601-06,coleoptera,2
NALYKO,low,low,NALYKO-601-06,coleoptera_larvae,1
NALYKO,low,low,NALYKO-601-06,araneae,1
NALYKO,low,low,NALYKO-601-06,pseudoscorpiones,1
NALYKO,low,low,NALYKO-601-06,sand,1
NALYKO,low,low,NALYKO-601-07,blattodea,1
NALYKO,low,low,NALYKO-601-07,lepidoptera_larvae,1
NALYKO,low,low,NALYKO-601-04,coleoptera,1
NALYKO,low,low,NALYKO-601-04,lepidoptera_larvae,1
NALYKO,low,low,NALYKO-601-05,odonata,1
NALYKO,low,low,NALYKO-601-05,araneae,1
NALYKO,low,low,NALYKO-601-05,sand,1
NALYKO,low,low,NALYKO-601-02,blattodea,1
NALYKO,low,low,NALYKO-601-02,leaf,1
NALYKO,low,low,NALYKO-601-02,sand,1
MALYKO,low,low,MALYKO-602-17,hymenoptera,5
MALYKO,low,low,MALYKO-602-17,orthoptera,1
MALYKO,low,low,MALYKO-602-17,araneae,2
MALYKO,low,low,MALYKO-602-17,isopoda,1
MALYKO,low,low,MALYKO-602-17,gastropoda,1
MALYKO,low,low,MALYKO-602-17,leaf,1
MALYKO,low,low,MALYKO-602-17,stick,1
MALYKO,low,low,MALYKO-602-11,araneae,1
MALYKO,low,low,MALYKO-602-21,pseudoscorpiones,1
MALYKO,low,low,MALYKO-602-20,hemiptera,9
MALYKO,low,low,MALYKO-602-20,hymenoptera,1
MALYKO,low,low,MALYKO-602-20,seed_pod,1
MALYKO,low,low,MALYKO-602-K2,diptera,1
MALYKO,low,low,MALYKO-602-K2,hymenoptera,3
MALYKO,low,low,MALYKO-602-02,coleoptera,1
MALYKO,low,low,MALYKO-602-02,hemiptera,1
MALYKO,low,low,MALYKO-602-02,orthoptera,1
MALYKO,low,low,MALYKO-602-02,thysanura,1
MALYKO,low,low,MALYKO-602-02,coleoptera_larvae,2
MALYKO,low,low,MALYKO-602-02,lepidoptera_larvae,1
MALYKO,low,low,MALYKO-602-02,acari,4
MALYKO,low,low,MALYKO-602-02,leaf,1
MALYKO,low,low,MALYKO-602-07,coleoptera,1
MALYKO,low,low,MALYKO-602-07,sand,1
MALYKO,low,low,MALYKO-602-10,thysanura,1
MALYKO,low,low,MALYKO-602-10,berry,5
MALYKO,low,low,MALYKO-602-10,flower_parts,1
MALYKO,low,low,MALYKO-602-09,hymenoptera,1
MALYKO,low,low,MALYKO-602-12,coleoptera,4
MALYKO,low,low,MALYKO-602-12,hymenoptera,1
MALYKO,low,low,MALYKO-602-12,berry,1
MALYKO,low,low,MALYKO-602-15,coleoptera,1
SAGRI,high,high,SAGRI- 521-03,coleoptera,1
SAGRI,high,high,SAGRI- 521-03,hemiptera,1
SAGRI,high,high,SAGRI- 521-10,coleoptera,1
SAGRI,high,high,SAGRI- 521-10,orthoptera,1
SAGRI,high,high,SAGRI- 521-10,gastropoda,1
SAGRI,high,high,SAGRI- 521-01,hemiptera,1
SAGRI,high,high,SAGRI- 521-01,hymenoptera,1
SAGRI,high,high,SAGRI- 521-11,orthoptera,1
SAGRI,high,high,SAGRI- 521-11,insect_egg,7
SAGRI,high,high,SAGRI- 521-08,orthoptera,1
SAGRI,high,high,SAGRI- 521-07,orthoptera,1
SAGRI,high,high,SAGRI- 521-09,hemiptera,1
SAGRI,high,high,SAGRI- 521-09,orthoptera,1
SAGRI,high,high,SAGRI- 521-09,araneae,1
SMONI,high,low,SMONI-522-22,coleoptera,2
SMONI,high,low,SMONI-522-22,hemiptera,2
SMONI,high,low,SMONI-522-22,orthoptera,1
SMONI,high,low,SMONI-522-22,lepidoptera_larvae,1
SMONI,high,low,SMONI-522-22,gastropoda,1
SMONI,high,low,SMONI-522-22,seed,2
SMONI,high,low,SMONI-522-05,hymenoptera,3
SMONI,high,low,SMONI-522-05,araneae,2
SMONI,high,low,SMONI-522-26,hemiptera,1
SMONI,high,low,SMONI-522-26,hymenoptera,1
SMONI,high,low,SMONI-522-26,araneae,2
SMONI,high,low,SMONI-522-26,isopoda,1
SMONI,high,low,SMONI-522-04,coleoptera,1
SMONI,high,low,SMONI-522-04,lepidoptera_larvae,1
SMONI,high,low,SMONI-522-21,blattodea,1
SMONI,high,low,SMONI-522-21,coleoptera,1
SMONI,high,low,SMONI-522-21,lepidoptera_larvae,2
SMONI,high,low,SMONI-522-21,neuroptera_larvae,1
SMONI,high,low,SMONI-522-21,gastropoda,1
SMONI,high,low,SMONI-522-38,hymenoptera,2
SMONI,high,low,SMONI-522-38,araneae,2
SMONI,high,low,SMONI-522-38,isopoda,1
SMONI,high,low,SMONI-522-09,hymenoptera,2
SMONI,high,low,SMONI-522-09,lepidoptera,1
SMONI,high,low,SMONI-522-09,diptera_larvae,1
SMONI,high,low,SMONI-522-06,hemiptera,1
SMONI,high,low,SMONI-522-06,orthoptera,1
SMONI,high,low,SMONI-522-06,lepidoptera_larvae,2
SMONI,high,low,SMONI-522-34,lepidoptera,1
SMONI,high,low,SMONI-522-34,lepidoptera_larvae,1
SMONI,high,low,SMONI-522-34,araneae,1
SMONI,high,low,SMONI-522-34,gastropoda,1
SMONI,high,low,SMONI-522-34,flower_parts,3
SMONI,high,low,SMONI-522-19,hemiptera,2
SMONI,high,low,SMONI-522-19,lepidoptera_larvae,1
SMONI,high,low,SMONI-522-19,flower_parts,1
SMONI,high,low,SMONI-522-32,blattodea,1
SMONI,high,low,SMONI-522-32,hemiptera,3
SMONI,high,low,SMONI-522-32,hymenoptera,1
SMONI,high,low,SMONI-522-32,lepidoptera,1
SMONI,high,low,SMONI-522-32,lepidoptera_larvae,1
SMONI,high,low,SMONI-522-32,araneae,1
SMONI,high,low,SMONI-522-39,hymenoptera,1
